"","ncessch","year","math_test_pct_prof_midpt","title_i_eligible","teachers_fte_crdc","stud_enrollment","student_teacher_ratio"
"194","090096000143",2016,57,0,46.5,465,10
"195","090096000143",2017,57,0,43,450,10.4651162790698
"196","090099000145",2011,92,1,49,546,11.1428571428571
"197","090099000145",2015,47,1,47,578,12.2978723404255
"198","090099000145",2016,52,1,49.5,563,11.3737373737374
"199","090099000145",2017,42,1,52,562,10.8076923076923
"200","090102000150",2011,61,0,173,2889,16.6994219653179
"201","090102000150",2012,66,0,182,2887,15.8626373626374
"202","090102000150",2013,57,0,191,2878,15.0680628272251
"203","090102000150",2014,22,0,185.5,2885,15.5525606469003
"204","090102000150",2015,25,0,180,2941,16.3388888888889
"205","090102000150",2016,25,0,185,3041,16.4378378378378
"206","090102000150",2017,22,0,190,3115,16.3947368421053
"207","090102001129",2011,24.5,0,8,92,11.5
"208","090102001129",2012,49.5,0,9,78,8.66666666666667
"209","090102001129",2013,10,0,10,83,8.3
"210","090102001129",2014,24.5,1,10,98,9.8
"211","090102001129",2015,10,1,10,94,9.4
"212","090102001129",2016,10,1,11,83,7.54545454545455
"213","090102001129",2017,10,1,12,88,7.33333333333333
"214","090105000164",2011,96,0,117,1315,11.2393162393162
"215","090105000164",2012,97,0,115,1329,11.5565217391304
"216","090105000164",2014,57,1,107,1365,12.7570093457944
"217","090105000164",2015,84,1,101,1356,13.4257425742574
"218","090105000164",2016,86,1,116.5,1354,11.6223175965665
"219","090105000164",2017,81,1,132,1377,10.4318181818182
"220","090111000175",2011,52,0,28,359,12.8214285714286
"221","090111000175",2012,52,1,31,360,11.6129032258065
"222","090111000175",2014,12,1,34,372,10.9411764705882
"223","090111000175",2015,17,1,34,344,10.1176470588235
"224","090111000175",2016,27,1,32.5,345,10.6153846153846
"225","090111000175",2017,17,1,31,353,11.3870967741935
"226","090117000181",2011,92,0,25,263,10.52
"227","090117000181",2015,42,0,29,264,9.10344827586207
"228","090117000181",2016,64.5,0,32,247,7.71875
"229","090117000181",2017,52,0,35,253,7.22857142857143
"230","090120000185",2011,82,0,40,404,10.1
"231","090120000185",2012,82,0,38.5,399,10.3636363636364
"232","090120000185",2014,27,0,37.5,351,9.36
"233","090120000185",2015,27,0,38,321,8.44736842105263
"234","090120000185",2016,27,0,37,334,9.02702702702703
"235","090120000185",2017,42,0,36,344,9.55555555555556
"236","090123000187",2011,87,1,47,550,11.7021276595745
"237","090123000187",2015,47,0,45,515,11.4444444444444
"238","090123000187",2016,42,1,47,488,10.3829787234043
"239","090123000187",2017,42,1,49,470,9.59183673469388
"240","090126000200",2011,54,0,125,1734,13.872
"241","090126000200",2012,49,0,131,1641,12.5267175572519
"242","090126000200",2013,24.5,0,137,1682,12.2773722627737
"243","090126000200",2014,17,0,138,1674,12.1304347826087
"244","090126000200",2015,20,0,139,1649,11.863309352518
"245","090126000200",2016,23,0,139,1629,11.7194244604317
"246","090126000200",2017,16,0,139,1728,12.431654676259
"247","090126001377",2011,5,0,9,151,16.7777777777778
"248","090126001377",2015,10,0,10,110,11
"249","090126001377",2016,10,0,9,87,9.66666666666667
"250","090126001377",2017,10,0,8,95,11.875
"251","090126001477",2011,95,0,12,188,15.6666666666667
"252","090126001477",2015,34.5,0,16,192,12
"253","090126001477",2016,54.5,0,12,197,16.4166666666667
"254","090126001477",2017,44.5,0,8,187,23.375
"255","090129000216",2011,72,0,74,885,11.9594594594595
"256","090129000216",2015,17,1,71,889,12.5211267605634
"257","090129000216",2016,17,1,75.5,921,12.1986754966887
"258","090129000216",2017,22,1,80,936,11.7
"259","090132000223",2011,92,0,101,1162,11.5049504950495
"260","090132000223",2012,92,0,104.5,1127,10.7846889952153
"261","090132000223",2014,57,0,101.5,1053,10.3743842364532
"262","090132000223",2015,62,0,95,1045,11
"263","090132000223",2016,57,0,97,1019,10.5051546391753
"264","090132000223",2017,52,0,99,1019,10.2929292929293
"265","090135000229",2011,67,0,34,374,11
"266","090135000229",2012,67,0,36,363,10.0833333333333
"267","090135000229",2014,32,0,36.5,332,9.0958904109589
"268","090135000229",2015,32,0,35,324,9.25714285714286
"269","090135000229",2016,37,0,36.5,303,8.3013698630137
"270","090135000229",2017,22,0,38,300,7.89473684210526
"271","090136001507",2011,64.5,1,13,128,9.84615384615385
"272","090136001507",2012,74.5,1,14,138,9.85714285714286
"273","090136001507",2014,10,1,15,141,9.4
"274","090136001507",2015,10,1,15,129,8.6
"275","090136001507",2016,5,1,15,121,8.06666666666667
"276","090136001507",2017,30,1,15,117,7.8
"277","090136001530",2011,34.5,1,10,110,11
"278","090136001530",2015,15,1,17,179,10.5294117647059
"279","090136001530",2016,15,1,16.5,164,9.93939393939394
"280","090136001530",2017,15,1,16,183,11.4375
"281","090144000237",2011,87,0,61,800,13.1147540983607
"282","090144000237",2015,47,0,66,771,11.6818181818182
"283","090144000237",2016,52,0,67.5,778,11.5259259259259
"284","090144000237",2017,52,0,69,770,11.1594202898551
"285","090147000243",2011,82,0,63,744,11.8095238095238
"286","090147000243",2012,82,0,63.5,727,11.4488188976378
"287","090147000243",2013,75,0,64,707,11.046875
"288","090147000243",2014,37,0,61.5,709,11.5284552845528
"289","090147000243",2015,37,0,59,715,12.1186440677966
"290","090147000245",2011,87,0,70,1058,15.1142857142857
"291","090147000245",2015,32,0,69,861,12.4782608695652
"292","090153000256",2011,93,0,116,1353,11.6637931034483
"293","090153000256",2012,89,0,116.5,1418,12.1716738197425
"294","090153000256",2014,34,0,129,1442,11.1782945736434
"295","090153000256",2015,58,0,141,1518,10.7659574468085
"296","090153000256",2016,63,0,134,1498,11.1791044776119
"297","090153000256",2017,50,0,127,1491,11.740157480315
"298","090153001379",2011,91,0,126,1537,12.1984126984127
"299","090153001379",2012,93,0,125.5,1552,12.3665338645418
"300","090153001379",2014,65,0,133.5,1541,11.5430711610487
"301","090153001379",2015,70,0,142,1508,10.6197183098592
"302","090153001379",2016,64,0,134.5,1495,11.1152416356877
"303","090153001379",2017,70,0,127,1510,11.8897637795276
"304","090156000273",2011,94,0,108,1293,11.9722222222222
"305","090156000273",2012,92,0,115.5,1322,11.4458874458874
"306","090156000273",2014,52,0,113.5,1264,11.136563876652
"307","090156000273",2015,62,0,104,1220,11.7307692307692
"308","090156000273",2016,67,0,115,1184,10.295652173913
"309","090156000273",2017,72,0,126,1196,9.49206349206349
"310","090162000283",2011,93,0,151,2204,14.5960264900662
"311","090162000283",2012,94,0,151,2239,14.8278145695364
"312","090162000283",2014,59,0,151.5,2038,13.4521452145215
"313","090162000283",2015,70,0,152,2037,13.4013157894737
"314","090162000283",2016,74,0,147,1991,13.5442176870748
"315","090162000283",2017,68,0,142,1997,14.0633802816901
"316","090168000289",2011,97.5,0,50,756,15.12
"317","090168000289",2015,62,0,55,694,12.6181818181818
"318","090168000289",2016,72,0,54.5,658,12.0733944954128
